Date,Champion,Position,Kills,Deaths,Assists,KDA,Win,Damage,Vision,Gold,cs,Kp,damage%,flash
2024-12-17 22:51:06,Kaisa,BOTTOM,18,8,10,3.5,True,37897,17,516.033,6.226,0.538,0.234,0
2024-12-17 21:59:57,Jinx,TOP,13,7,19,4.571,True,57406,21,502.562,7.638,0.681,0.345,0
2024-12-17 21:17:47,Varus,BOTTOM,7,5,18,5.0,True,21405,23,470.438,7.694,0.556,0.141,0
2024-12-16 21:06:17,Ezreal,BOTTOM,4,6,8,2.0,False,36613,27,380.764,7.463,0.375,0.237,0
2024-12-16 20:18:41,Jinx,BOTTOM,10,7,10,2.857,True,30796,21,486.504,7.941,0.435,0.181,1
2024-12-16 19:38:26,Jinx,BOTTOM,7,3,11,6.0,True,23179,17,445.204,8.257,0.692,0.216,0
2024-12-15 19:31:57,Nilah,BOTTOM,4,8,3,0.875,True,13191,11,346.767,5.3,0.2,0.125,0
2024-12-15 18:54:49,KogMaw,BOTTOM,4,11,3,0.636,False,21721,18,364.961,6.979,0.368,0.271,0
2024-12-12 22:52:42,Ashe,BOTTOM,0,5,1,0.2,False,5970,5,261.016,5.622,0.333,0.179,0
2024-12-12 22:11:50,MissFortune,BOTTOM,2,1,4,6.0,False,9915,13,349.261,7.5,0.75,0.26,0
2024-12-12 20:52:13,Kalista,BOTTOM,9,11,9,1.636,False,21316,25,448.194,5.83,0.36,0.159,0
2024-12-11 19:38:18,Xayah,BOTTOM,3,4,5,2.0,False,16988,13,355.94,6.617,0.4,0.23,0
2024-12-10 22:36:40,Kalista,BOTTOM,9,4,12,5.25,True,28438,29,494.594,6.134,0.677,0.219,0
2024-12-10 21:33:34,Ashe,BOTTOM,10,9,18,3.111,True,51964,25,475.204,8.107,0.538,0.228,1
2024-12-10 20:49:44,Xayah,BOTTOM,8,7,5,1.857,True,22537,16,470.929,7.951,0.382,0.174,0
2024-12-10 20:20:36,Caitlyn,BOTTOM,0,4,0,0.0,False,6953,10,308.578,7.647,0,0.183,0
2024-12-10 14:38:39,Ashe,BOTTOM,8,4,19,6.75,True,22490,16,423.87,5.752,0.675,0.173,0
2024-12-09 20:24:35,MissFortune,BOTTOM,12,8,7,2.375,False,48290,28,448.308,7.582,0.475,0.27,0
2024-12-08 22:04:47,Aphelios,BOTTOM,4,8,2,0.75,False,17551,13,357.74,6.685,0.4,0.196,0
2024-12-08 21:32:14,Zeri,BOTTOM,3,3,1,1.333,False,9167,10,324.633,6.641,0.364,0.167,0
2024-12-08 20:21:52,Udyr,JUNGLE,3,11,10,1.182,False,15109,27,311.77,0.631,0.394,0.102,0
2024-12-08 14:17:38,Jhin,BOTTOM,2,5,2,0.8,False,5187,14,369.574,7.021,0.5,0.102,0
2024-12-08 00:08:17,Xayah,BOTTOM,8,1,4,12.0,True,15227,5,414.01,6.839,0.5,0.246,0
2024-12-07 23:12:58,Caitlyn,BOTTOM,12,4,7,4.75,True,30378,33,447.486,7.082,0.514,0.22,0
2024-12-07 22:13:34,Xayah,BOTTOM,3,1,3,6.0,False,23850,12,376.531,8.087,0.462,0.293,0
2024-12-06 00:02:49,Xayah,BOTTOM,7,1,2,9.0,True,13297,7,444.299,7.313,0.529,0.304,0
2024-12-05 23:18:00,Jinx,BOTTOM,7,6,12,3.167,False,36277,19,373.96,6.508,0.543,0.261,0
2024-12-05 22:32:27,Ashe,BOTTOM,5,4,7,3.0,False,24553,24,376.601,7.299,0.444,0.245,0
2024-12-05 22:01:37,MissFortune,BOTTOM,10,2,5,7.5,True,17275,12,457.241,6.329,0.484,0.225,1
2024-12-04 23:22:25,MissFortune,BOTTOM,18,3,7,8.333,True,35314,34,600.122,9.332,0.556,0.304,0
2024-12-04 22:45:54,Seraphine,BOTTOM,4,3,17,7.0,False,18903,8,383.65,6.415,0.7,0.169,0
2024-12-04 21:10:09,Khazix,JUNGLE,10,9,3,1.444,True,21175,29,386.259,0.364,0.361,0.151,0
2024-12-04 20:30:29,Varus,BOTTOM,1,11,11,1.091,False,13957,9,332.592,6.35,0.387,0.126,0
2024-12-04 16:43:42,Caitlyn,BOTTOM,12,9,10,2.444,False,36192,18,475.024,6.38,0.71,0.33,0
2024-12-03 23:14:44,MissFortune,BOTTOM,13,3,8,7.0,True,27036,16,493.417,6.784,0.512,0.217,0
2024-12-03 22:52:15,Ashe,BOTTOM,6,2,5,5.5,True,9423,4,444.038,7.029,0.5,0.259,0
2024-12-03 22:02:05,Lucian,BOTTOM,6,3,13,6.333,False,27130,27,390.057,6.241,0.576,0.194,0
2024-12-03 21:17:50,Ezreal,BOTTOM,1,3,6,2.333,False,18783,8,348.37,7.754,0.333,0.219,0
2024-12-02 22:43:43,Jinx,BOTTOM,9,7,10,2.714,False,33452,21,395.195,5.465,0.655,0.265,0
2024-12-02 22:08:18,Xayah,BOTTOM,12,4,14,6.5,True,29726,13,481.495,6.113,0.578,0.239,0
2024-12-01 22:39:53,Xayah,BOTTOM,16,11,6,2.0,False,41229,25,456.335,6.583,0.478,0.212,0
2024-12-01 21:58:20,Ashe,BOTTOM,9,7,5,2.0,False,23569,10,420.233,6.645,0.56,0.28,0
2024-12-01 21:34:20,Jhin,BOTTOM,4,2,2,3.0,True,4995,9,376.43,7.087,0.333,0.138,0
2024-12-01 20:56:02,Xayah,BOTTOM,10,8,3,1.625,False,24314,17,468.69,8.093,0.565,0.301,1
2024-12-01 20:32:40,Ziggs,BOTTOM,1,3,3,1.333,False,5230,8,327.362,7.055,0.667,0.168,0
2024-12-01 13:09:50,Caitlyn,BOTTOM,11,1,7,18.0,True,31620,19,508.055,7.994,0.391,0.266,0
2024-11-30 23:15:39,Jinx,BOTTOM,28,9,11,4.333,True,83189,31,491.347,6.844,0.6,0.317,2
2024-11-30 22:41:12,Sivir,BOTTOM,8,1,8,16.0,True,27122,22,518.761,8.683,0.457,0.278,0
2024-11-30 22:08:29,Varus,BOTTOM,10,5,9,3.8,True,19377,19,403.298,5.542,0.396,0.175,0
2024-11-30 21:41:17,Xayah,BOTTOM,3,6,1,0.667,False,7908,3,332.619,5.476,0.308,0.179,0
2024-11-30 20:56:37,Jhin,BOTTOM,15,7,12,3.857,False,31528,20,422.425,5.45,0.466,0.201,0
2024-11-29 21:57:18,Caitlyn,BOTTOM,13,8,3,2.0,True,25647,13,519.002,6.667,0.41,0.229,0
2024-11-29 21:27:36,Xayah,BOTTOM,12,5,12,4.8,True,23803,14,486.643,5.823,0.571,0.283,0
2024-11-29 20:53:00,Jhin,BOTTOM,9,1,5,14.0,True,10755,5,565.536,7.549,0.7,0.294,0
2024-11-29 20:23:59,Varus,BOTTOM,10,1,3,13.0,True,17245,11,449.025,7.312,0.52,0.245,1
2024-11-28 22:44:03,Xayah,BOTTOM,26,4,5,7.75,True,47280,16,655.244,8.436,0.816,0.497,0
2024-11-28 22:05:14,Ezreal,BOTTOM,4,9,3,0.778,False,20134,12,330.246,5.975,0.28,0.213,0
2024-11-28 21:04:42,Kaisa,BOTTOM,10,11,11,1.909,True,28246,24,392.51,4.967,0.404,0.143,0
2024-11-28 20:25:54,Corki,BOTTOM,7,10,5,1.2,False,18662,20,374.703,6.257,0.4,0.154,0
2024-11-28 17:34:25,Ashe,BOTTOM,7,8,3,1.25,False,19261,27,448.208,7.917,0.345,0.148,1
2024-11-28 15:13:47,Caitlyn,BOTTOM,7,7,6,1.857,False,28230,20,406.208,7.109,0.419,0.224,0
2024-11-28 15:05:17,Lucian,BOTTOM,0,0,0,Perfect KDA,False,0,0,275.229,0.0,nan,0,0
2024-11-28 14:24:19,MissFortune,BOTTOM,7,9,8,1.667,False,25075,23,410.283,6.877,0.375,0.177,0
2024-11-27 22:56:28,Xayah,BOTTOM,14,9,11,2.778,False,51822,25,522.185,8.483,0.532,0.353,1
2024-11-27 22:18:33,Tristana,BOTTOM,17,10,4,2.1,True,30161,13,447.739,4.871,0.362,0.202,0
2024-11-27 20:54:43,Garen,TOP,20,11,3,2.091,True,52547,31,484.845,5.722,0.418,0.212,0
2024-11-27 12:57:14,Caitlyn,BOTTOM,11,9,14,2.778,True,53841,14,464.739,6.203,0.625,0.274,1
2024-11-27 12:22:29,Xayah,BOTTOM,11,4,4,3.75,True,18339,17,570.726,7.3,0.517,0.224,0
2024-11-26 23:06:51,Varus,BOTTOM,3,0,4,Perfect KDA,True,9104,8,407.244,8.917,0.467,0.211,0
2024-11-26 22:11:31,Ashe,BOTTOM,16,8,16,4.0,True,49763,25,471.621,6.54,0.711,0.213,1
2024-11-26 21:26:25,Ezreal,BOTTOM,12,5,6,3.6,True,28091,16,508.663,5.926,0.486,0.233,0
2024-11-26 20:33:38,Vayne,BOTTOM,16,9,6,2.444,False,31106,28,441.15,5.587,0.5,0.172,1
2024-11-26 15:39:19,Jinx,BOTTOM,6,6,5,1.833,False,21958,10,397.339,7.339,0.478,0.253,0
2024-11-26 15:13:35,Jinx,BOTTOM,1,2,2,1.5,False,6134,6,297.587,6.307,0.333,0.185,0
2024-11-25 23:20:41,Sivir,BOTTOM,2,8,16,2.25,False,18197,5,384.034,8.339,0.486,0.176,0
2024-11-25 22:45:55,Jinx,BOTTOM,8,10,13,2.1,False,26231,12,469.883,6.371,0.636,0.263,0
2024-11-24 21:21:32,Jinx,BOTTOM,9,6,10,3.167,False,28478,20,403.193,6.638,0.594,0.276,0
2024-11-24 20:18:50,Poppy,TOP,6,10,10,1.6,False,45943,21,335.388,5.574,0.485,0.248,0
2024-11-24 13:25:34,Aurora,TOP,3,6,2,0.833,True,18298,17,355.28,6.548,0.152,0.173,0
2024-11-24 12:55:44,Maokai,TOP,2,5,6,1.6,False,14249,10,361.414,6.729,0.276,0.183,0
2024-11-23 23:37:42,Jax,TOP,9,10,8,1.7,True,26934,26,416.685,5.153,0.354,0.192,0
2024-11-23 22:48:27,Maokai,TOP,5,10,8,1.3,False,31316,19,360.761,5.09,0.361,0.239,0
2024-11-23 22:41:13,Jax,TOP,0,0,0,Perfect KDA,False,186,0,283.81,1.429,nan,0.809,0
2024-11-23 21:54:54,Poppy,TOP,5,9,13,2.0,False,28977,17,344.375,4.998,0.4,0.186,0
2024-11-23 21:22:35,Maokai,TOP,2,3,10,4.0,True,17269,20,361.025,6.15,0.4,0.203,0
2024-11-23 20:44:04,Poppy,TOP,4,5,4,1.6,True,15019,20,342.789,5.624,0.2,0.139,0
2024-11-23 19:58:31,Poppy,TOP,6,6,8,2.333,True,33199,22,439.536,6.472,0.237,0.203,0
2024-11-22 23:38:39,Gnar,TOP,16,6,8,4.0,False,53164,29,445.02,5.432,0.686,0.308,0
2024-11-22 22:48:48,Maokai,TOP,7,4,2,2.25,True,29908,17,405.309,7.045,0.205,0.231,0
2024-11-22 22:04:16,Poppy,TOP,5,4,9,3.5,True,26878,20,387.564,6.214,0.341,0.19,0
2024-11-22 21:29:42,Maokai,TOP,3,5,2,1.0,False,9610,10,309.117,5.894,0.278,0.158,0
2024-11-22 20:50:58,Poppy,TOP,3,4,6,2.25,False,20243,12,349.556,6.34,0.391,0.163,0
2024-11-20 21:50:44,Urgot,TOP,8,9,10,2.0,True,46527,14,474.892,6.076,0.462,0.304,0
2024-11-20 20:53:40,Caitlyn,BOTTOM,11,11,15,2.364,True,55505,28,445.974,5.705,0.619,0.226,0
2024-11-20 20:26:38,Caitlyn,BOTTOM,8,1,1,9.0,True,9621,2,470.593,7.417,0.429,0.238,0
2024-11-20 12:47:05,Jinx,BOTTOM,10,16,12,1.375,False,32485,17,417.133,7.097,0.449,0.189,0
2024-11-19 22:34:18,Malphite,TOP,5,3,6,3.667,True,20561,23,384.803,7.413,0.25,0.136,0
2024-11-19 21:49:54,Senna,UTILITY,3,12,13,1.333,False,17542,38,299.649,0.935,0.552,0.17,0
2024-11-19 20:48:44,Corki,BOTTOM,7,10,7,1.4,False,21392,8,404.313,6.33,0.56,0.241,0
